feature_index,feature_name,component,feature_type,importance
2114,w_302,302,weight,0.00014881717
3491,cyz_498,498,off_diagonal,0.00014856544
1,cxx_0,0,diagonal,0.00014820154
3352,czz_478,478,diagonal,0.0001481033
2639,w_377,377,weight,0.000148079
153,czz_21,21,diagonal,0.00014787735
3029,cyz_432,432,off_diagonal,0.00014776055
2988,czz_426,426,diagonal,0.00014760807
2320,cxz_331,331,off_diagonal,0.00014747538
2018,cxy_288,288,off_diagonal,0.00014735761
357,w_51,51,weight,0.00014708239
722,cxx_103,103,diagonal,0.00014707074
3179,cxx_454,454,diagonal,0.0001466803
874,czz_124,124,diagonal,0.00014657536
1089,cyy_155,155,diagonal,0.00014618173
564,cyy_80,80,diagonal,0.00014603119
375,cyy_53,53,diagonal,0.00014581854
3353,w_479,479,weight,0.00014577145
2202,cyy_314,314,diagonal,0.00014490836
48,czz_6,6,diagonal,0.00014461072
403,cyy_57,57,diagonal,0.00014411866
1183,w_169,169,weight,0.0001437618
3115,w_445,445,weight,0.00014325634
990,cxz_141,141,off_diagonal,0.0001431112
2178,cxx_311,311,diagonal,0.00014305131
863,cxy_123,123,off_diagonal,0.00014289057
1148,w_164,164,weight,0.00014243391
940,cxy_134,134,off_diagonal,0.0001420996
2775,cxz_396,396,off_diagonal,0.00014147372
1295,w_185,185,weight,0.00014144012
547,cxx_78,78,diagonal,0.00014062933
484,cxx_69,69,diagonal,0.000140509
1487,cxz_212,212,off_diagonal,0.00014015067
1539,czz_219,219,diagonal,0.00013812316
1897,w_271,271,weight,0.00013782068
2161,cyz_308,308,off_diagonal,0.00013772301
910,w_130,130,weight,0.00013763191
2649,cxz_378,378,off_diagonal,0.00013753353
294,w_42,42,weight,0.00013752312
2790,cyy_398,398,diagonal,0.00013727255
1385,czz_197,197,diagonal,0.00013714579
2376,cxz_339,339,off_diagonal,0.0001370972
717,cxz_102,102,off_diagonal,0.00013697954
1153,cyz_164,164,off_diagonal,0.00013661593
2339,cxx_334,334,diagonal,0.00013651885
756,w_108,108,weight,0.0001363443
790,czz_112,112,diagonal,0.00013576145
1284,cxz_183,183,off_diagonal,0.00013572312
1722,w_246,246,weight,0.00013488036
1203,czz_171,171,diagonal,0.00013462082
1707,czz_243,243,diagonal,0.00013444612
1145,cyy_163,163,diagonal,0.00013337756
2826,cyz_403,403,off_diagonal,0.00013323547
3027,cxz_432,432,off_diagonal,0.00013319978
3059,w_437,437,weight,0.0001327317
827,cxx_118,118,diagonal,0.00013253481
2500,cxx_357,357,diagonal,0.00013235475
2879,cxy_411,411,off_diagonal,0.0001307441
2960,czz_422,422,diagonal,0.00013073895
1582,w_226,226,weight,0.00013067992
2465,cxx_352,352,diagonal,0.00013055824
2555,w_365,365,weight,0.00013028299
311,cxz_44,44,off_diagonal,0.0001299016
491,cxx_70,70,diagonal,0.00012970716
14,w_2,2,weight,0.00012885907
1973,czz_281,281,diagonal,0.0001286455
800,cxy_114,114,off_diagonal,0.00012840347
2239,czz_319,319,diagonal,0.00012838551
1945,czz_277,277,diagonal,0.00012815557
3130,cxx_447,447,diagonal,0.00012806265
757,cxx_108,108,diagonal,0.00012796417
3045,w_435,435,weight,0.00012773283
2454,cyy_350,350,diagonal,0.00012765438
2813,czz_401,401,diagonal,0.00012760518
1093,cxx_156,156,diagonal,0.00012726999
353,cxz_50,50,off_diagonal,0.00012599678
2391,cyy_341,341,diagonal,0.00012591598
2007,cyz_286,286,off_diagonal,0.00012540755
2364,cyz_337,337,off_diagonal,0.00012492573
1653,cxx_236,236,diagonal,0.00012491146
1037,cxx_148,148,diagonal,0.0001248395
2139,cyy_305,305,diagonal,0.00012456164
546,w_78,78,weight,0.00012406836
170,cxy_24,24,off_diagonal,0.00012393667
1188,cyz_169,169,off_diagonal,0.00012319889
379,cxx_54,54,diagonal,0.00012295233
3192,w_456,456,weight,0.00012207826
1704,cxz_243,243,off_diagonal,0.0001219279
3419,cxz_488,488,off_diagonal,0.00012138655
405,czz_57,57,diagonal,0.000121163546
2055,cyy_293,293,diagonal,0.00012113845
169,cxx_24,24,diagonal,0.000120829754
1931,czz_275,275,diagonal,0.00012062997
116,cyy_16,16,diagonal,0.00012057522
524,czz_74,74,diagonal,0.000120429846
1664,cyz_237,237,off_diagonal,0.00012039291
2196,cyz_313,313,off_diagonal,0.00012032811
206,cxz_29,29,off_diagonal,0.00012016052
3366,czz_480,480,diagonal,0.000120113444
2506,w_358,358,weight,0.00011970511
193,cyy_27,27,diagonal,0.000119569544
1535,cxy_219,219,off_diagonal,0.000119515746
1530,cyy_218,218,diagonal,0.000119510485
271,cyz_38,38,off_diagonal,0.000119452256
33,cyz_4,4,off_diagonal,0.00011940348
2318,cxx_331,331,diagonal,0.00011936149
59,cxz_8,8,off_diagonal,0.00011908556
2194,cxz_313,313,off_diagonal,0.00011893698
856,cxy_122,122,off_diagonal,0.00011886432
2497,cyz_356,356,off_diagonal,0.000118489486
965,czz_137,137,diagonal,0.00011824565
2273,cyz_324,324,off_diagonal,0.000117961994
67,cyy_9,9,diagonal,0.000117618765
258,czz_36,36,diagonal,0.000117584605
1544,cyy_220,220,diagonal,0.00011732659
2889,cyz_412,412,off_diagonal,0.00011719869
102,cyy_14,14,diagonal,0.000117181946
1505,w_215,215,weight,0.00011706855
1112,czz_158,158,diagonal,0.0001169502
3096,cxy_442,442,off_diagonal,0.000116892705
1809,cxz_258,258,off_diagonal,0.00011686665
1071,w_153,153,weight,0.000116738716
632,cxy_90,90,off_diagonal,0.00011658385
2345,w_335,335,weight,0.00011650235
150,cxz_21,21,off_diagonal,0.000116048344
1509,cyy_215,215,diagonal,0.00011599428
1876,w_268,268,weight,0.000115985196
2003,cxx_286,286,diagonal,0.00011582924
1900,cxz_271,271,off_diagonal,0.00011559369
3110,cxy_444,444,off_diagonal,0.00011555527
2783,cyy_397,397,diagonal,0.000115527255
469,w_67,67,weight,0.000115478964
3187,cxy_455,455,off_diagonal,0.00011525835
3083,cxz_440,440,off_diagonal,0.00011508694
3483,cyy_497,497,diagonal,0.00011475195
2563,cxx_366,366,diagonal,0.00011472851
2306,cxz_329,329,off_diagonal,0.00011470591
495,cyz_70,70,off_diagonal,0.00011468944
1420,czz_202,202,diagonal,0.00011457614
861,w_123,123,weight,0.00011444453
269,cxz_38,38,off_diagonal,0.00011442298
1204,w_172,172,weight,0.000113694165
477,cxx_68,68,diagonal,0.00011369301
201,cyz_28,28,off_diagonal,0.000113604
28,w_4,4,weight,0.00011352211
307,czz_43,43,diagonal,0.00011347589
2688,w_384,384,weight,0.00011295828
2812,cyz_401,401,off_diagonal,0.00011269602
2204,czz_314,314,diagonal,0.00011222014
1603,w_229,229,weight,0.000112193826
1303,cxx_186,186,diagonal,0.00011209651
2645,czz_377,377,diagonal,0.00011209522
84,w_12,12,weight,0.00011202019
991,cyy_141,141,diagonal,0.000111929
2424,cxy_346,346,off_diagonal,0.000111866386
1588,czz_226,226,diagonal,0.00011173489
3249,cxx_464,464,diagonal,0.00011171489
490,w_70,70,weight,0.00011139227
418,cyz_59,59,off_diagonal,0.000111295776
1141,w_163,163,weight,0.000111129026
3486,w_498,498,weight,0.000110975154
8,cxx_1,1,diagonal,0.000110673514
894,cyz_127,127,off_diagonal,0.000110505185
2100,w_300,300,weight,0.000110426095
56,w_8,8,weight,0.00011029098
1083,cyz_154,154,off_diagonal,0.00011019613
1585,cxz_226,226,off_diagonal,0.000110080975
3424,cxx_489,489,diagonal,0.00011000443
2751,w_393,393,weight,0.00010955535
81,cyy_11,11,diagonal,0.00010946603
4,cyy_0,0,diagonal,0.000109324144
1489,cyz_212,212,off_diagonal,0.00010911411
631,cxx_90,90,diagonal,0.00010895942
3393,cyz_484,484,off_diagonal,0.0001086411
1050,w_150,150,weight,0.0001084341
1283,cxy_183,183,off_diagonal,0.00010815832
1833,czz_261,261,diagonal,0.000108115804
1928,cxz_275,275,off_diagonal,0.000107941225
1821,cxx_260,260,diagonal,0.00010767845
113,cxx_16,16,diagonal,0.000107618485
3267,cyz_466,466,off_diagonal,0.00010703159
3446,cxy_492,492,off_diagonal,0.0001068542
1052,cxy_150,150,off_diagonal,0.00010666435
3261,czz_465,465,diagonal,0.000106308005
1464,cxx_209,209,diagonal,0.00010611759
3325,w_475,475,weight,0.000106089086
342,czz_48,48,diagonal,0.000106069485
3437,w_491,491,weight,0.00010581947
761,cyz_108,108,off_diagonal,0.00010533467
1231,czz_175,175,diagonal,0.00010510789
550,cyy_78,78,diagonal,0.0001050786
772,cxy_110,110,off_diagonal,0.00010506757
2272,cyy_324,324,diagonal,0.00010487445
1652,w_236,236,weight,0.00010477915
2521,cxx_360,360,diagonal,0.000104762876
2853,cyy_407,407,diagonal,0.00010464627
2264,cxz_323,323,off_diagonal,0.000104546285
3150,w_450,450,weight,0.00010454509
2113,czz_301,301,diagonal,0.00010441638
2791,cyz_398,398,off_diagonal,0.00010431422
310,cxy_44,44,off_diagonal,0.00010429893
1723,cxx_246,246,diagonal,0.000104143444
2428,czz_346,346,diagonal,0.00010357022
1466,cxz_209,209,off_diagonal,0.000103299666
1654,cxy_236,236,off_diagonal,0.00010289415
814,cxy_116,116,off_diagonal,0.00010268591
620,cyy_88,88,diagonal,0.00010261002
2818,cyy_402,402,diagonal,0.00010235098
515,cyy_73,73,diagonal,0.000102194455
1745,cxy_249,249,off_diagonal,0.00010194858
3438,cxx_491,491,diagonal,0.000101721205
1662,cxz_237,237,off_diagonal,0.000101687874
1573,cyz_224,224,off_diagonal,0.00010145242
88,cyy_12,12,diagonal,0.00010112688
3119,cyy_445,445,diagonal,0.000100978395
381,cxz_54,54,off_diagonal,0.00010083356
2285,cxz_326,326,off_diagonal,0.00010049635
2901,cxz_414,414,off_diagonal,0.000100494144
60,cyy_8,8,diagonal,0.00010010966
1015,w_145,145,weight,0.000100006386
692,czz_98,98,diagonal,9.988525e-05
1171,cxy_167,167,off_diagonal,9.98162e-05
2417,cxy_345,345,off_diagonal,9.9810066e-05
2187,cxz_312,312,off_diagonal,9.9762816e-05
2905,w_415,415,weight,9.950486e-05
609,w_87,87,weight,9.9441226e-05
2778,czz_396,396,diagonal,9.909078e-05
35,w_5,5,weight,9.871836e-05
1063,czz_151,151,diagonal,9.8703225e-05
1710,cxy_244,244,off_diagonal,9.863633e-05
2122,cxx_303,303,diagonal,9.8473705e-05
2515,cxy_359,359,off_diagonal,9.8273194e-05
2623,cyz_374,374,off_diagonal,9.783489e-05
1345,cxx_192,192,diagonal,9.780872e-05
1114,cxx_159,159,diagonal,9.77828e-05
1306,cyy_186,186,diagonal,9.760002e-05
487,cyy_69,69,diagonal,9.7281074e-05
395,cxz_56,56,off_diagonal,9.7253505e-05
857,cxz_122,122,off_diagonal,9.7174336e-05
1067,cxz_152,152,off_diagonal,9.717378e-05
3382,cxx_483,483,diagonal,9.704259e-05
615,czz_87,87,diagonal,9.6925054e-05
320,cyz_45,45,off_diagonal,9.678804e-05
2976,cxx_425,425,diagonal,9.676933e-05
2782,cxz_397,397,off_diagonal,9.666094e-05
1341,cyy_191,191,diagonal,9.647948e-05
733,cyz_104,104,off_diagonal,9.585459e-05
3269,w_467,467,weight,9.559309e-05
22,cxx_3,3,diagonal,9.55469e-05
1999,cyy_285,285,diagonal,9.5514944e-05
1396,cxz_199,199,off_diagonal,9.497944e-05
2761,cxz_394,394,off_diagonal,9.491284e-05
1749,czz_249,249,diagonal,9.431245e-05
3463,cyz_494,494,off_diagonal,9.401507e-05
1903,czz_271,271,diagonal,9.393722e-05
3017,w_431,431,weight,9.389094e-05
2032,cxy_290,290,off_diagonal,9.366991e-05
2180,cxz_311,311,off_diagonal,9.3590665e-05
1336,czz_190,190,diagonal,9.337945e-05
2319,cxy_331,331,off_diagonal,9.313481e-05
3362,cxy_480,480,off_diagonal,9.309254e-05
1669,cxz_238,238,off_diagonal,9.297085e-05
1571,cxz_224,224,off_diagonal,9.277461e-05
2781,cxy_397,397,off_diagonal,9.247954e-05
2393,czz_341,341,diagonal,9.240575e-05
1877,cxx_268,268,diagonal,9.17148e-05
305,cyy_43,43,diagonal,9.167811e-05
3481,cxy_497,497,off_diagonal,9.150319e-05
2026,cxz_289,289,off_diagonal,9.133437e-05
397,cyz_56,56,off_diagonal,9.0909336e-05
197,cxx_28,28,diagonal,9.083865e-05
801,cxz_114,114,off_diagonal,9.0469664e-05
1039,cxz_148,148,off_diagonal,9.039123e-05
1982,cxx_283,283,diagonal,9.028002e-05
3034,cxz_433,433,off_diagonal,9.021444e-05
3091,cyy_441,441,diagonal,9.013909e-05
795,cyy_113,113,diagonal,9.004836e-05
245,w_35,35,weight,8.9893e-05
2903,cyz_414,414,off_diagonal,8.96652e-05
2033,cxz_290,290,off_diagonal,8.9357476e-05
100,cxy_14,14,off_diagonal,8.928305e-05
713,czz_101,101,diagonal,8.899679e-05
2071,czz_295,295,diagonal,8.893132e-05
3221,cxx_460,460,diagonal,8.886631e-05
2327,cxz_332,332,off_diagonal,8.85957e-05
2455,cyz_350,350,off_diagonal,8.852666e-05
1638,w_234,234,weight,8.831891e-05
2590,w_370,370,weight,8.808984e-05
1201,cyy_171,171,diagonal,8.7774955e-05
1658,czz_236,236,diagonal,8.776484e-05
3120,cyz_445,445,off_diagonal,8.7710076e-05
734,czz_104,104,diagonal,8.769504e-05
2419,cyy_345,345,diagonal,8.745847e-05
1011,cxz_144,144,off_diagonal,8.7449334e-05
272,czz_38,38,diagonal,8.729002e-05
3158,cxx_451,451,diagonal,8.717226e-05
212,cxy_30,30,off_diagonal,8.703439e-05
843,cxz_120,120,off_diagonal,8.673997e-05
622,czz_88,88,diagonal,8.6507134e-05
149,cxy_21,21,off_diagonal,8.618909e-05
1021,czz_145,145,diagonal,8.572411e-05
1293,cyz_184,184,off_diagonal,8.5634325e-05
685,czz_97,97,diagonal,8.5623455e-05
2948,cxx_421,421,diagonal,8.556421e-05
961,cxy_137,137,off_diagonal,8.5451305e-05
2655,cxy_379,379,off_diagonal,8.524223e-05
2857,cxx_408,408,diagonal,8.4864485e-05
1913,cxy_273,273,off_diagonal,8.482232e-05
851,cyy_121,121,diagonal,8.4732004e-05
2281,czz_325,325,diagonal,8.468894e-05
753,cyy_107,107,diagonal,8.453254e-05
2486,cxx_355,355,diagonal,8.423017e-05
363,czz_51,51,diagonal,8.411763e-05
2148,czz_306,306,diagonal,8.396858e-05
1690,cxz_241,241,off_diagonal,8.3870065e-05
1167,cyz_166,166,off_diagonal,8.383796e-05
1989,cxx_284,284,diagonal,8.370578e-05
1525,czz_217,217,diagonal,8.351361e-05
2985,cxz_426,426,off_diagonal,8.35135e-05
984,cyy_140,140,diagonal,8.338913e-05
237,czz_33,33,diagonal,8.338598e-05
2868,cyz_409,409,off_diagonal,8.338544e-05
2361,cxy_337,337,off_diagonal,8.308642e-05
613,cyy_87,87,diagonal,8.306785e-05
2855,czz_407,407,diagonal,8.306449e-05
1168,czz_166,166,diagonal,8.299975e-05
2797,cyy_399,399,diagonal,8.2985396e-05
2768,cxz_395,395,off_diagonal,8.286914e-05
318,cxz_45,45,off_diagonal,8.280046e-05
2821,w_403,403,weight,8.279738e-05
18,cyy_2,2,diagonal,8.2533355e-05
2052,cxx_293,293,diagonal,8.180858e-05
29,cxx_4,4,diagonal,8.168898e-05
1125,cyz_160,160,off_diagonal,8.156009e-05
2867,cyy_409,409,diagonal,8.134893e-05
1907,cxz_272,272,off_diagonal,8.131735e-05
2654,cxx_379,379,diagonal,8.0721766e-05
2566,cyy_366,366,diagonal,8.068458e-05
155,cxx_22,22,diagonal,8.047563e-05
2967,czz_423,423,diagonal,7.9966645e-05
248,cxz_35,35,off_diagonal,7.991912e-05
3181,cxz_454,454,off_diagonal,7.991462e-05
2915,cxz_416,416,off_diagonal,7.963336e-05
1381,cxy_197,197,off_diagonal,7.9525926e-05
1855,w_265,265,weight,7.952275e-05
3484,cyz_497,497,off_diagonal,7.9442456e-05
936,cyz_133,133,off_diagonal,7.942974e-05
138,cyz_19,19,off_diagonal,7.940167e-05
3058,czz_436,436,diagonal,7.937781e-05
99,cxx_14,14,diagonal,7.902044e-05
1042,czz_148,148,diagonal,7.883372e-05
3170,czz_452,452,diagonal,7.867947e-05
2952,cyz_421,421,off_diagonal,7.8511766e-05
2987,cyz_426,426,off_diagonal,7.844209e-05
536,cyy_76,76,diagonal,7.840318e-05
2326,cxy_332,332,off_diagonal,7.833731e-05
1394,cxx_199,199,diagonal,7.832512e-05
3294,cyy_470,470,diagonal,7.8274155e-05
2078,czz_296,296,diagonal,7.826924e-05
433,czz_61,61,diagonal,7.8229474e-05
2825,cyy_403,403,diagonal,7.811419e-05
462,w_66,66,weight,7.784134e-05
2072,w_296,296,weight,7.777239e-05
2811,cyy_401,401,diagonal,7.7632605e-05
2335,cyy_333,333,diagonal,7.7501485e-05
351,cxx_50,50,diagonal,7.743702e-05
1953,w_279,279,weight,7.743047e-05
1017,cxy_145,145,off_diagonal,7.727122e-05
219,cxy_31,31,off_diagonal,7.689616e-05
700,w_100,100,weight,7.6847624e-05
998,cyy_142,142,diagonal,7.6793025e-05
1333,cxz_190,190,off_diagonal,7.6407414e-05
2170,w_310,310,weight,7.636926e-05
765,cxy_109,109,off_diagonal,7.607568e-05
2884,w_412,412,weight,7.600857e-05
262,cxz_37,37,off_diagonal,7.592619e-05
1456,w_208,208,weight,7.5747485e-05
1272,cyz_181,181,off_diagonal,7.555666e-05
1843,cxy_263,263,off_diagonal,7.555266e-05
742,w_106,106,weight,7.553621e-05
3157,w_451,451,weight,7.5483615e-05
724,cxz_103,103,off_diagonal,7.539675e-05
3301,cyy_471,471,diagonal,7.534915e-05
3241,w_463,463,weight,7.505566e-05
934,cxz_133,133,off_diagonal,7.498871e-05
1206,cxy_172,172,off_diagonal,7.4902426e-05
2124,cxz_303,303,off_diagonal,7.478124e-05
973,w_139,139,weight,7.469233e-05
344,cxx_49,49,diagonal,7.449629e-05
3173,cxy_453,453,off_diagonal,7.441572e-05
366,cxy_52,52,off_diagonal,7.438783e-05
2219,w_317,317,weight,7.417978e-05
3363,cxz_480,480,off_diagonal,7.4142e-05
1587,cyz_226,226,off_diagonal,7.410945e-05
1001,w_143,143,weight,7.404967e-05
718,cyy_102,102,diagonal,7.401344e-05
3349,cxz_478,478,off_diagonal,7.3930976e-05
1790,cyz_255,255,off_diagonal,7.392038e-05
2383,cxz_340,340,off_diagonal,7.37704e-05
3036,cyz_433,433,off_diagonal,7.373725e-05
2668,cxx_381,381,diagonal,7.356052e-05
642,cyz_91,91,off_diagonal,7.345784e-05
2131,cxz_304,304,off_diagonal,7.33718e-05
1275,cxx_182,182,diagonal,7.325559e-05
3095,cxx_442,442,diagonal,7.306076e-05
1079,cxx_154,154,diagonal,7.274002e-05
1355,cyy_193,193,diagonal,7.267639e-05
1699,cyz_242,242,off_diagonal,7.261438e-05
331,cxy_47,47,off_diagonal,7.234515e-05
1952,czz_278,278,diagonal,7.2153685e-05
829,cxz_118,118,off_diagonal,7.195638e-05
218,cxx_31,31,diagonal,7.181849e-05
2438,cxy_348,348,off_diagonal,7.163215e-05
999,cyz_142,142,off_diagonal,7.15173e-05
2402,cxx_343,343,diagonal,7.140448e-05
2000,cyz_285,285,off_diagonal,7.120786e-05
2211,czz_315,315,diagonal,7.107288e-05
2390,cxz_341,341,off_diagonal,7.104489e-05
3,cxz_0,0,off_diagonal,7.100362e-05
531,czz_75,75,diagonal,7.097464e-05
1874,cyz_267,267,off_diagonal,7.09306e-05
6,czz_0,0,diagonal,7.0844624e-05
647,cxz_92,92,off_diagonal,7.083124e-05
2597,w_371,371,weight,7.070684e-05
1372,w_196,196,weight,7.05903e-05
288,cxx_41,41,diagonal,7.052001e-05
1407,w_201,201,weight,7.041796e-05
2581,cyz_368,368,off_diagonal,7.01736e-05
2596,czz_370,370,diagonal,7.010832e-05
2731,cxx_390,390,diagonal,6.993971e-05
3111,cxz_444,444,off_diagonal,6.960606e-05
185,cxz_26,26,off_diagonal,6.95016e-05
2,cxy_0,0,off_diagonal,6.94971e-05
1861,czz_265,265,diagonal,6.931662e-05
2561,czz_365,365,diagonal,6.9172915e-05
3480,cxx_497,497,diagonal,6.916788e-05
1129,cxy_161,161,off_diagonal,6.898014e-05
2416,cxx_345,345,diagonal,6.892923e-05
3012,cxy_430,430,off_diagonal,6.889201e-05
2974,czz_424,424,diagonal,6.886124e-05
1891,cxx_270,270,diagonal,6.871769e-05
77,w_11,11,weight,6.8635214e-05
905,cxy_129,129,off_diagonal,6.85933e-05
3068,cxy_438,438,off_diagonal,6.857994e-05
94,cxz_13,13,off_diagonal,6.851471e-05
2939,czz_419,419,diagonal,6.850781e-05
2214,cxy_316,316,off_diagonal,6.84778e-05
326,cyy_46,46,diagonal,6.839119e-05
540,cxx_77,77,diagonal,6.837807e-05
43,cxx_6,6,diagonal,6.833022e-05
328,czz_46,46,diagonal,6.8324116e-05
1993,cyz_284,284,off_diagonal,6.813267e-05
1423,cxy_203,203,off_diagonal,6.8128014e-05
312,cyy_44,44,diagonal,6.80501e-05
2436,w_348,348,weight,6.733442e-05
2517,cyy_359,359,diagonal,6.6973415e-05
1618,cxx_231,231,diagonal,6.687605e-05
2035,cyz_290,290,off_diagonal,6.6845336e-05
1307,cyz_186,186,off_diagonal,6.683711e-05
2772,w_396,396,weight,6.677275e-05
3430,w_490,490,weight,6.672811e-05
2883,czz_411,411,diagonal,6.641698e-05
3125,cxz_446,446,off_diagonal,6.640925e-05
853,czz_121,121,diagonal,6.6283246e-05
3137,cxx_448,448,diagonal,6.6282104e-05
1221,cxz_174,174,off_diagonal,6.621001e-05
1473,cxz_210,210,off_diagonal,6.6196495e-05
1800,cxx_257,257,diagonal,6.6174405e-05
1245,czz_177,177,diagonal,6.615356e-05
2434,cyz_347,347,off_diagonal,6.606973e-05
435,cxx_62,62,diagonal,6.598472e-05
209,czz_29,29,diagonal,6.598266e-05
1267,w_181,181,weight,6.592902e-05
556,cxz_79,79,off_diagonal,6.572602e-05
534,cxy_76,76,off_diagonal,6.527038e-05
2464,w_352,352,weight,6.519959e-05
3245,cyy_463,463,diagonal,6.498028e-05
27,czz_3,3,diagonal,6.4758504e-05
2136,cxx_305,305,diagonal,6.465767e-05
313,cyz_44,44,off_diagonal,6.465145e-05
396,cyy_56,56,diagonal,6.42807e-05
3286,cxz_469,469,off_diagonal,6.4057545e-05
850,cxz_121,121,off_diagonal,6.390519e-05
3426,cxz_489,489,off_diagonal,6.386417e-05
3279,cxz_468,468,off_diagonal,6.3766194e-05
3409,w_487,487,weight,6.350231e-05
3189,cyy_455,455,diagonal,6.339998e-05
689,cxz_98,98,off_diagonal,6.3370695e-05
1801,cxy_257,257,off_diagonal,6.320337e-05
1851,cxz_264,264,off_diagonal,6.313273e-05
2466,cxy_352,352,off_diagonal,6.310459e-05
1881,cyz_268,268,off_diagonal,6.3031104e-05
1013,cyz_144,144,off_diagonal,6.291581e-05
268,cxy_38,38,off_diagonal,6.28702e-05
2568,czz_366,366,diagonal,6.281985e-05
3440,cxz_491,491,off_diagonal,6.2818894e-05
996,cxy_142,142,off_diagonal,6.2730076e-05
2733,cxz_390,390,off_diagonal,6.2488434e-05
157,cxz_22,22,off_diagonal,6.24217e-05
475,czz_67,67,diagonal,6.2401705e-05
1261,cxx_180,180,diagonal,6.2362706e-05
3264,cxy_466,466,off_diagonal,6.230393e-05
1225,w_175,175,weight,6.217301e-05
3386,cyz_483,483,off_diagonal,6.192901e-05
2665,cyz_380,380,off_diagonal,6.192273e-05
552,czz_78,78,diagonal,6.186325e-05
3212,czz_458,458,diagonal,6.181497e-05
3404,cxy_486,486,off_diagonal,6.171653e-05
1957,cyy_279,279,diagonal,6.166805e-05
3214,cxx_459,459,diagonal,6.163234e-05
0,w_0,0,weight,6.161553e-05
1392,czz_198,198,diagonal,6.159146e-05
667,cxy_95,95,off_diagonal,6.158242e-05
3204,cyz_457,457,off_diagonal,6.1555605e-05
785,cxx_112,112,diagonal,6.154089e-05
1893,cxz_270,270,off_diagonal,6.108577e-05
1400,w_200,200,weight,6.1079394e-05
71,cxx_10,10,diagonal,6.106282e-05
65,cxy_9,9,off_diagonal,6.104298e-05
2554,czz_364,364,diagonal,6.0992243e-05
1593,cyy_227,227,diagonal,6.0991537e-05
32,cyy_4,4,diagonal,6.0930928e-05
1948,cxy_278,278,off_diagonal,6.0838145e-05
1081,cxz_154,154,off_diagonal,6.0769496e-05
977,cyy_139,139,diagonal,6.0689916e-05
3182,cyy_454,454,diagonal,6.0560786e-05
743,cxx_106,106,diagonal,6.047807e-05
806,cxx_115,115,diagonal,6.03428e-05
2823,cxy_403,403,off_diagonal,6.0299757e-05
1559,cyz_222,222,off_diagonal,6.0268754e-05
3389,cxx_484,484,diagonal,6.0266433e-05
1329,czz_189,189,diagonal,6.026303e-05
2562,w_366,366,weight,6.0236653e-05
789,cyz_112,112,off_diagonal,6.0041744e-05
1747,cyy_249,249,diagonal,5.9996117e-05
1997,cxy_285,285,off_diagonal,5.997805e-05
1084,czz_154,154,diagonal,5.994333e-05
2366,w_338,338,weight,5.9839807e-05
126,w_18,18,weight,5.9774495e-05
1136,cxy_162,162,off_diagonal,5.9770395e-05
3329,cyy_475,475,diagonal,5.975771e-05
3140,cyy_448,448,diagonal,5.9602462e-05
1324,cxx_189,189,diagonal,5.957993e-05
2443,w_349,349,weight,5.9564914e-05
2184,w_312,312,weight,5.954721e-05
1916,cyz_273,273,off_diagonal,5.952768e-05
3471,czz_495,495,diagonal,5.9330305e-05
1289,cxx_184,184,diagonal,5.9319707e-05
2150,cxx_307,307,diagonal,5.9241687e-05
1169,w_167,167,weight,5.908298e-05
3470,cyz_495,495,off_diagonal,5.9064034e-05
1742,czz_248,248,diagonal,5.9026966e-05
330,cxx_47,47,diagonal,5.899168e-05
3493,w_499,499,weight,5.898967e-05
73,cxz_10,10,off_diagonal,5.893007e-05
2511,cyz_358,358,off_diagonal,5.8925347e-05
513,cxy_73,73,off_diagonal,5.8775553e-05
1967,w_281,281,weight,5.875181e-05
2828,w_404,404,weight,5.870829e-05
677,cyz_96,96,off_diagonal,5.865914e-05
3231,cyy_461,461,diagonal,5.8655885e-05
2311,cxx_330,330,diagonal,5.856738e-05
1898,cxx_271,271,diagonal,5.839421e-05
2034,cyy_290,290,diagonal,5.817801e-05
3262,w_466,466,weight,5.8177222e-05
3303,czz_471,471,diagonal,5.8146237e-05
1490,czz_212,212,diagonal,5.8127232e-05
137,cyy_19,19,diagonal,5.8106754e-05
365,cxx_52,52,diagonal,5.798283e-05
1811,cyz_258,258,off_diagonal,5.7964073e-05
512,cxx_73,73,diagonal,5.790712e-05
83,czz_11,11,diagonal,5.785397e-05
47,cyz_6,6,off_diagonal,5.7842204e-05
1698,cyy_242,242,diagonal,5.783785e-05
458,cxz_65,65,off_diagonal,5.771368e-05
2722,czz_388,388,diagonal,5.7712714e-05
2406,cyz_343,343,off_diagonal,5.7695797e-05
1296,cxx_185,185,diagonal,5.7590834e-05
1968,cxx_281,281,diagonal,5.753998e-05
2934,cxx_419,419,diagonal,5.7350702e-05
115,cxz_16,16,off_diagonal,5.728189e-05
3429,czz_489,489,diagonal,5.725408e-05
277,cyy_39,39,diagonal,5.7180503e-05
1950,cyy_278,278,diagonal,5.7091314e-05
1176,w_168,168,weight,5.6915494e-05
2421,czz_345,345,diagonal,5.687658e-05
76,czz_10,10,diagonal,5.6843583e-05
3103,cxy_443,443,off_diagonal,5.6802626e-05
3044,czz_434,434,diagonal,5.676234e-05
1048,cyz_149,149,off_diagonal,5.675677e-05
279,czz_39,39,diagonal,5.6694065e-05
1375,cxz_196,196,off_diagonal,5.6674253e-05
1812,czz_258,258,diagonal,5.6672518e-05
634,cyy_90,90,diagonal,5.6647554e-05
