feature_index,feature_name,component,feature_type,coefficient,abs_coefficient,nonzero
3271,cxy_467,467,off_diagonal,-0.004673209498563745,0.004673209498563745,True
162,cxx_23,23,diagonal,-0.004456124128780729,0.004456124128780729,True
865,cyy_123,123,diagonal,-0.004455213689401739,0.004455213689401739,True
990,cxz_141,141,off_diagonal,0.004388971822963391,0.004388971822963391,True
2300,cyy_328,328,diagonal,-0.004375272787252933,0.004375272787252933,True
1477,w_211,211,weight,-0.004345522764089578,0.004345522764089578,True
3351,cyz_478,478,off_diagonal,-0.004280394576829096,0.004280394576829096,True
2346,cxx_335,335,diagonal,-0.003953413142968842,0.003953413142968842,True
1195,cyz_170,170,off_diagonal,0.00374798837043334,0.00374798837043334,True
1383,cyy_197,197,diagonal,0.0036848123042212463,0.0036848123042212463,True
372,cxx_53,53,diagonal,0.003323161361936699,0.003323161361936699,True
740,cyz_105,105,off_diagonal,0.003214206493857062,0.003214206493857062,True
271,cyz_38,38,off_diagonal,-0.003193798836844032,0.003193798836844032,True
2541,w_363,363,weight,0.0030203336326391998,0.0030203336326391998,True
228,cyy_32,32,diagonal,-0.002821856074197945,0.002821856074197945,True
343,w_49,49,weight,-0.0026302507784877922,0.0026302507784877922,True
1136,cxy_162,162,off_diagonal,0.0017737474868631646,0.0017737474868631646,True
1951,cyz_278,278,off_diagonal,0.0017177268496501952,0.0017177268496501952,True
38,cxz_5,5,off_diagonal,-0.0016938763392810397,0.0016938763392810397,True
2962,cxx_423,423,diagonal,0.00127239193802717,0.00127239193802717,True
3157,w_451,451,weight,0.0008958304641959906,0.0008958304641959906,True
2934,cxx_419,419,diagonal,-0.0007989134877124059,0.0007989134877124059,True
1981,w_283,283,weight,-0.0007651899309800727,0.0007651899309800727,True
3474,cxy_496,496,off_diagonal,-0.0007136442431802534,0.0007136442431802534,True
2208,cxz_315,315,off_diagonal,-0.0006491209275365364,0.0006491209275365364,True
2763,cyz_394,394,off_diagonal,-0.0004137288143247727,0.0004137288143247727,True
3454,cxz_493,493,off_diagonal,0.00035198969928990054,0.00035198969928990054,True
2602,cyz_371,371,off_diagonal,-0.00023525992448215894,0.00023525992448215894,True
1621,cyy_231,231,diagonal,0.00022178827155559891,0.00022178827155559891,True
561,cxx_80,80,diagonal,0.00015111547566712234,0.00015111547566712234,True
1150,cxy_164,164,off_diagonal,-7.89934924911072e-05,7.89934924911072e-05,True
2540,czz_362,362,diagonal,-0.0,0.0,False
2486,cxx_355,355,diagonal,0.0,0.0,False
2468,cyy_352,352,diagonal,0.0,0.0,False
2467,cxz_352,352,off_diagonal,0.0,0.0,False
2408,w_344,344,weight,-0.0,0.0,False
2410,cxy_344,344,off_diagonal,-0.0,0.0,False
2485,w_355,355,weight,-0.0,0.0,False
2538,cyy_362,362,diagonal,0.0,0.0,False
2536,cxy_362,362,off_diagonal,0.0,0.0,False
2537,cxz_362,362,off_diagonal,-0.0,0.0,False
2438,cxy_348,348,off_diagonal,-0.0,0.0,False
2472,cxx_353,353,diagonal,-0.0,0.0,False
2484,czz_354,354,diagonal,0.0,0.0,False
2407,czz_343,343,diagonal,0.0,0.0,False
2397,cxz_342,342,off_diagonal,0.0,0.0,False
2551,cxz_364,364,off_diagonal,-0.0,0.0,False
2398,cyy_342,342,diagonal,0.0,0.0,False
2475,cyy_353,353,diagonal,0.0,0.0,False
2399,cyz_342,342,off_diagonal,0.0,0.0,False
2550,cxy_364,364,off_diagonal,0.0,0.0,False
2400,czz_342,342,diagonal,-0.0,0.0,False
2402,cxx_343,343,diagonal,0.0,0.0,False
2476,cyz_353,353,off_diagonal,0.0,0.0,False
2477,czz_353,353,diagonal,0.0,0.0,False
2473,cxy_353,353,off_diagonal,0.0,0.0,False
2478,w_354,354,weight,0.0,0.0,False
2548,w_364,364,weight,-0.0,0.0,False
2480,cxy_354,354,off_diagonal,0.0,0.0,False
2403,cxy_343,343,off_diagonal,-0.0,0.0,False
2404,cxz_343,343,off_diagonal,-0.0,0.0,False
2481,cxz_354,354,off_diagonal,-0.0,0.0,False
2546,cyz_363,363,off_diagonal,-0.0,0.0,False
2405,cyy_343,343,diagonal,-0.0,0.0,False
2482,cyy_354,354,diagonal,-0.0,0.0,False
2471,w_353,353,weight,0.0,0.0,False
2545,cyy_363,363,diagonal,-0.0,0.0,False
2470,czz_352,352,diagonal,-0.0,0.0,False
2469,cyz_352,352,off_diagonal,-0.0,0.0,False
2483,cyz_354,354,off_diagonal,0.0,0.0,False
2544,cxz_363,363,off_diagonal,-0.0,0.0,False
2543,cxy_363,363,off_diagonal,0.0,0.0,False
2406,cyz_343,343,off_diagonal,0.0,0.0,False
2542,cxx_363,363,diagonal,-0.0,0.0,False
2466,cxy_352,352,off_diagonal,-0.0,0.0,False
2454,cyy_350,350,diagonal,-0.0,0.0,False
2411,cxz_344,344,off_diagonal,0.0,0.0,False
2429,w_347,347,weight,-0.0,0.0,False
2428,czz_346,346,diagonal,0.0,0.0,False
2427,cyz_346,346,off_diagonal,0.0,0.0,False
2513,w_359,359,weight,-0.0,0.0,False
2426,cyy_346,346,diagonal,-0.0,0.0,False
2514,cxx_359,359,diagonal,-0.0,0.0,False
2501,cxy_357,357,off_diagonal,0.0,0.0,False
2515,cxy_359,359,off_diagonal,0.0,0.0,False
2425,cxz_346,346,off_diagonal,0.0,0.0,False
2516,cxz_359,359,off_diagonal,0.0,0.0,False
2517,cyy_359,359,diagonal,0.0,0.0,False
2518,cyz_359,359,off_diagonal,0.0,0.0,False
2519,czz_359,359,diagonal,0.0,0.0,False
2520,w_360,360,weight,-0.0,0.0,False
2499,w_357,357,weight,-0.0,0.0,False
2498,czz_356,356,diagonal,0.0,0.0,False
2521,cxx_360,360,diagonal,-0.0,0.0,False
2497,cyz_356,356,off_diagonal,-0.0,0.0,False
2446,cxz_349,349,off_diagonal,0.0,0.0,False
2511,cyz_358,358,off_diagonal,0.0,0.0,False
2424,cxy_346,346,off_diagonal,-0.0,0.0,False
2502,cxz_357,357,off_diagonal,-0.0,0.0,False
2439,cxz_348,348,off_diagonal,0.0,0.0,False
2437,cxx_348,348,diagonal,-0.0,0.0,False
2436,w_348,348,weight,-0.0,0.0,False
2435,czz_347,347,diagonal,0.0,0.0,False
2441,cyz_348,348,off_diagonal,0.0,0.0,False
2434,cyz_347,347,off_diagonal,0.0,0.0,False
2433,cyy_347,347,diagonal,-0.0,0.0,False
2504,cyz_357,357,off_diagonal,-0.0,0.0,False
2442,czz_348,348,diagonal,-0.0,0.0,False
2443,w_349,349,weight,-0.0,0.0,False
2508,cxy_358,358,off_diagonal,0.0,0.0,False
2509,cxz_358,358,off_diagonal,-0.0,0.0,False
2431,cxy_347,347,off_diagonal,-0.0,0.0,False
2503,cyy_357,357,diagonal,0.0,0.0,False
2510,cyy_358,358,diagonal,0.0,0.0,False
2444,cxx_349,349,diagonal,-0.0,0.0,False
2430,cxx_347,347,diagonal,-0.0,0.0,False
2522,cxy_360,360,off_diagonal,0.0,0.0,False
2447,cyy_349,349,diagonal,-0.0,0.0,False
2487,cxy_355,355,off_diagonal,-0.0,0.0,False
2458,cxx_351,351,diagonal,-0.0,0.0,False
2459,cxy_351,351,off_diagonal,-0.0,0.0,False
2494,cxy_356,356,off_diagonal,-0.0,0.0,False
2460,cxz_351,351,off_diagonal,0.0,0.0,False
2416,cxx_345,345,diagonal,0.0,0.0,False
2532,cyz_361,361,off_diagonal,0.0,0.0,False
2415,w_345,345,weight,-0.0,0.0,False
2461,cyy_351,351,diagonal,-0.0,0.0,False
2533,czz_361,361,diagonal,-0.0,0.0,False
2492,w_356,356,weight,0.0,0.0,False
2462,cyz_351,351,off_diagonal,-0.0,0.0,False
2463,czz_351,351,diagonal,0.0,0.0,False
2414,czz_344,344,diagonal,-0.0,0.0,False
2413,cyz_344,344,off_diagonal,-0.0,0.0,False
2490,cyz_355,355,off_diagonal,-0.0,0.0,False
2489,cyy_355,355,diagonal,-0.0,0.0,False
2535,cxx_362,362,diagonal,0.0,0.0,False
2488,cxz_355,355,off_diagonal,-0.0,0.0,False
2529,cxy_361,361,off_diagonal,0.0,0.0,False
2496,cyy_356,356,diagonal,0.0,0.0,False
2448,cyz_349,349,off_diagonal,0.0,0.0,False
2417,cxy_345,345,off_diagonal,-0.0,0.0,False
2449,czz_349,349,diagonal,0.0,0.0,False
2523,cxz_360,360,off_diagonal,0.0,0.0,False
2524,cyy_360,360,diagonal,-0.0,0.0,False
2525,cyz_360,360,off_diagonal,-0.0,0.0,False
2526,czz_360,360,diagonal,0.0,0.0,False
2451,cxx_350,350,diagonal,-0.0,0.0,False
2422,w_346,346,weight,0.0,0.0,False
2452,cxy_350,350,off_diagonal,-0.0,0.0,False
2453,cxz_350,350,off_diagonal,-0.0,0.0,False
2421,czz_345,345,diagonal,-0.0,0.0,False
2420,cyz_345,345,off_diagonal,-0.0,0.0,False
2419,cyy_345,345,diagonal,0.0,0.0,False
2456,czz_350,350,diagonal,-0.0,0.0,False
2418,cxz_345,345,off_diagonal,0.0,0.0,False
2457,w_351,351,weight,0.0,0.0,False
2527,w_361,361,weight,-0.0,0.0,False
2528,cxx_361,361,diagonal,0.0,0.0,False
0,w_0,0,weight,-0.0,0.0,False
2269,cxx_324,324,diagonal,-0.0,0.0,False
2396,cxy_342,342,off_diagonal,-0.0,0.0,False
2109,cxy_301,301,off_diagonal,-0.0,0.0,False
2111,cyy_301,301,diagonal,-0.0,0.0,False
2112,cyz_301,301,off_diagonal,0.0,0.0,False
2114,w_302,302,weight,-0.0,0.0,False
2115,cxx_302,302,diagonal,-0.0,0.0,False
2116,cxy_302,302,off_diagonal,-0.0,0.0,False
2117,cxz_302,302,off_diagonal,0.0,0.0,False
2118,cyy_302,302,diagonal,0.0,0.0,False
2119,cyz_302,302,off_diagonal,0.0,0.0,False
2121,w_303,303,weight,-0.0,0.0,False
2123,cxy_303,303,off_diagonal,0.0,0.0,False
2124,cxz_303,303,off_diagonal,-0.0,0.0,False
2125,cyy_303,303,diagonal,0.0,0.0,False
2126,cyz_303,303,off_diagonal,0.0,0.0,False
2127,czz_303,303,diagonal,0.0,0.0,False
2128,w_304,304,weight,-0.0,0.0,False
2129,cxx_304,304,diagonal,0.0,0.0,False
2130,cxy_304,304,off_diagonal,-0.0,0.0,False
2110,cxz_301,301,off_diagonal,-0.0,0.0,False
2107,w_301,301,weight,0.0,0.0,False
2085,czz_297,297,diagonal,-0.0,0.0,False
2105,cyz_300,300,off_diagonal,-0.0,0.0,False
2088,cxy_298,298,off_diagonal,0.0,0.0,False
2089,cxz_298,298,off_diagonal,-0.0,0.0,False
2090,cyy_298,298,diagonal,0.0,0.0,False
2091,cyz_298,298,off_diagonal,-0.0,0.0,False
2092,czz_298,298,diagonal,0.0,0.0,False
2093,w_299,299,weight,0.0,0.0,False
2094,cxx_299,299,diagonal,0.0,0.0,False
2095,cxy_299,299,off_diagonal,0.0,0.0,False
2096,cxz_299,299,off_diagonal,0.0,0.0,False
2097,cyy_299,299,diagonal,-0.0,0.0,False
2098,cyz_299,299,off_diagonal,0.0,0.0,False
2099,czz_299,299,diagonal,0.0,0.0,False
2100,w_300,300,weight,-0.0,0.0,False
2101,cxx_300,300,diagonal,0.0,0.0,False
2102,cxy_300,300,off_diagonal,-0.0,0.0,False
2103,cxz_300,300,off_diagonal,0.0,0.0,False
2104,cyy_300,300,diagonal,-0.0,0.0,False
2131,cxz_304,304,off_diagonal,0.0,0.0,False
2132,cyy_304,304,diagonal,0.0,0.0,False
2133,cyz_304,304,off_diagonal,-0.0,0.0,False
2134,czz_304,304,diagonal,-0.0,0.0,False
2162,czz_308,308,diagonal,-0.0,0.0,False
2166,cxz_309,309,off_diagonal,-0.0,0.0,False
2168,cyz_309,309,off_diagonal,0.0,0.0,False
2169,czz_309,309,diagonal,-0.0,0.0,False
2170,w_310,310,weight,-0.0,0.0,False
2171,cxx_310,310,diagonal,-0.0,0.0,False
2172,cxy_310,310,off_diagonal,0.0,0.0,False
2173,cxz_310,310,off_diagonal,0.0,0.0,False
2174,cyy_310,310,diagonal,-0.0,0.0,False
